Year,District,Crop,RainfallNormall,TempAverage,Humidity,Yield,Prediction Value,N_RAINFALL,N_TEMPERATURE,N_HUMIDITY,N_YIELD
2008,10,Bajra,354.7,29.57259,23.19667,1719,1197.737731,0,0.59,0.64,0.45
2009,10,Bajra,354.7,30.66667,28.33333,1032,854.3080729,0,1,0.84,0.27
2010,10,Bajra,369.6,29.91667,31.41667,620,652.6231915,1,0.72,0.97,0.16
2011,10,Bajra,369.6,29.33333,32.25,727,709.846051,1,0.5,1,0.19
2012,10,Bajra,369.6,29.66667,30.75,543,493.6998927,1,0.63,0.94,0.14
2013,10,Bajra,369.6,29.83,31.58,568,521.4399985,1,0.69,0.97,0.15
2014,10,Bajra,354.7,29.75,31.16,654,592.8927355,0,0.66,0.96,0.17
2015,10,Bajra,369.6,27.99,7.33,489,410.5854397,1,0,0,0.13
2016,10,Bajra,369.6,29.33,8.17,492,436.6735525,1,0.5,0.03,0.13
2017,10,Bajra,369.6,29.67,7.78,399,367.8695023,1,0.63,0.02,0.11
2008,10,Jowar,354.7,29.57259,23.19667,588,484.2610516,0,0.59,0.64,0.16
2009,10,Jowar,354.7,30.66667,28.33333,147,315.1220704,0,1,0.84,0.04
2010,10,Jowar,369.6,29.91667,31.41667,667,606.3748323,1,0.72,0.97,0.18
2011,10,Jowar,369.6,29.33333,32.25,750,569.1389508,1,0.5,1,0.2
2012,10,Jowar,369.6,29.66667,30.75,613,535.1601538,1,0.63,0.94,0.16
2013,10,Jowar,369.6,29.83,31.58,615,610.0573314,1,0.69,0.97,0.16
2014,10,Jowar,354.7,29.75,31.16,0,300.8729555,0,0.66,0.96,0
2015,10,Jowar,369.6,27.99,7.33,0,170.8877778,1,0,0,0
2016,10,Jowar,369.6,29.33,8.17,1000,634.0705328,1,0.5,0.03,0.26
2017,10,Jowar,369.6,29.67,7.78,600,579.3927194,1,0.63,0.02,0.16
2008,10,Maize,354.7,29.57259,23.19667,0,267.021621,0,0.59,0.64,0
2009,10,Maize,354.7,30.66667,28.33333,1000,850.4865957,0,1,0.84,0.26
2010,10,Maize,369.6,29.91667,31.41667,0,410.3614097,1,0.72,0.97,0
2011,10,Maize,369.6,29.33333,32.25,0,410.3614097,1,0.5,1,0
2012,10,Maize,369.6,29.66667,30.75,0,524.746561,1,0.63,0.94,0
2013,10,Maize,369.6,29.83,31.58,0,267.021621,1,0.69,0.97,0
2014,10,Maize,354.7,29.75,31.16,0,267.021621,0,0.66,0.96,0
2015,10,Maize,369.6,27.99,7.33,0,338.6915153,1,0,0,0
2016,10,Maize,369.6,29.33,8.17,0,737.8928268,1,0.5,0.03,0
2017,10,Maize,369.6,29.67,7.78,2000,1754.861942,1,0.63,0.02,0.53
2008,10,Rice,354.7,29.57259,23.19667,0,-5.968879189,0,0.59,0.64,0
2009,10,Rice,354.7,30.66667,28.33333,0,-5.968879189,0,1,0.84,0
2010,10,Rice,369.6,29.91667,31.41667,0,-5.968879189,1,0.72,0.97,0
2011,10,Rice,369.6,29.33333,32.25,0,-5.968879189,1,0.5,1,0
2012,10,Rice,369.6,29.66667,30.75,0,31.76602713,1,0.63,0.94,0
2013,10,Rice,369.6,29.83,31.58,0,-5.968879189,1,0.69,0.97,0
2014,10,Rice,354.7,29.75,31.16,0,-5.968879189,0,0.66,0.96,0
2015,10,Rice,369.6,27.99,7.33,0,-5.968879189,1,0,0,0
2016,10,Rice,369.6,29.33,8.17,0,-5.968879189,1,0.5,0.03,0
2017,10,Rice,369.6,29.67,7.78,0,-5.968879189,1,0.63,0.02,0
2008,10,Wheat,354.7,29.57259,23.19667,3790,3792.440161,0,0.59,0.64,1
2009,10,Wheat,354.7,30.66667,28.33333,2847,3296.024135,0,1,0.84,0.75
2010,10,Wheat,369.6,29.91667,31.41667,2355,2182.473077,1,0.72,0.97,0.62
2011,10,Wheat,369.6,29.33333,32.25,1067,1663.492228,1,0.5,1,0.28
2012,10,Wheat,369.6,29.66667,30.75,2094,2053.387284,1,0.63,0.94,0.55
2013,10,Wheat,369.6,29.83,31.58,2095,2088.902259,1,0.69,0.97,0.55
2014,10,Wheat,354.7,29.75,31.16,1620,1901.506624,0,0.66,0.96,0.43
2015,10,Wheat,369.6,27.99,7.33,2257,2121.825317,1,0,0,0.6
2016,10,Wheat,369.6,29.33,8.17,2041,2072.362963,1,0.5,0.03,0.54
2017,10,Wheat,369.6,29.67,7.78,2188,2106.415402,1,0.63,0.02,0.58
